0
HALL
ATHENA
FASAM
MARTHA PAGY
MOVIMENTO
EDITORA COBOGÓ
MUL.TI.PLO ESPAÇO
LONA
CASSIA BOMENY
PORTAS VILASECA
RV CULTURA E
CENTRAL
NARA ROESLER
JANAINA TORRES
C.
MERCEDES VIEGAS
MATIAS BROTAS
CARCARA PHOTO ART
GABY INDIO DA COSTA
AURA
OMA
MARCIA BARROZO DO AMARAL
ESTAÇÃO
CARBONO
SILVIA CINTRA + BOX 4
BORDALLO
ANITA SCHWARTZ
LUCIANA BRITO
SIMÕES DE ASSIS
SUPERFÍCIE
MARIO COHEN
GUSTAVO REBELLO
MILLAN
MAC DESIGN
LEONARDO LEAL
REFERÊNCIA
AM
PROJETO VÊNUS
CASA JACAREPAGUÁ
PAPEL ASSINADO
MAPA
MAMUTE
LUCIANA CARAVELLO  CONTEMPORÂNEA
BERENICE ARVANI
KARANDASH
VERVE
ANDREA REHDER
CHOQUE CULTURAL
CASA ROSA AMARELA
STEINART CONTEMPORÂNEA
PARTICULAR.ART.BR
GISELA PROJECTS
ZILDA FRALETTI
MARILIA RAZUK
GALATEA
CARMO JOHNSON PROJECTS
FORMATTO
SALA RÚSSIA
MARCO ZERO
LUME
ZIELINSKY
QUADRA
DESAPÊ
MURILO CASTRO
MASP – MUSEU DE  DE SÃO PAULO
IZABEL PINHEIRO
AMPARO 60
LEME
TERRA VIRGEM EDIÇÕES
GALERÍA DE LAS MISIONES
RODRIGO RATTON
PINAKOTHEKE
FRENTE
MARLI MATSUMOTO
57 – RENATO MAGALHAES GOUVÊA JR.
ARTUR FIDALGO
JACQUELINE TERPINS
CELMA ALBUQUERQUE
