Artist,Technique,Year,Type,Width (cm),Height (cm),Year of sale,Price (BRL),img_url,url,Sold,Technique_fix,Título,Década,Error,Descrição,Século,artist_link,Fonte de Pesquisa,Width,Height,Price (USD)
Vicente do Rego Monteiro,Acrílica sobre tela,,Pinturas,,,2017,400000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_760345.jpg,https://www.catalogodasartes.com.br/obra/AtezUB/,False,,Leda e o Cisne,60.0,False,"Leda e o Cisne - 95 x 124 cm - AST - Ass. CIE - Década 1960 Reproduzido em duas páginas diferentes no livro do artista ""Vicente do Rego Monteiro - Olhar sobre a década de 1960, por Jacob Klintowitz"" sob o código 38 - Texto transcrito do catálogo do leilão.",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Error Flynn 08 de Junho de 2017,124.0,95.0,122324.16
Vicente do Rego Monteiro,Aquarela,,Pinturas,,,2017,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_777840.jpg,https://www.catalogodasartes.com.br/obra/AAAcUe/,False,,Natureza Morta,,False,"Natureza Morta"" - Aquarela - 32 x 50 cm - a.c.s.d. - Texto transcrito do catálogo do leilão.",,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Arte em Movimento 15 de Agosto de 2017,50.0,32.0,943.4
Vicente do Rego Monteiro,Óleo sobre chapa de madeira industrializada,,Pinturas,,,2004,8200.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_6167.jpg,https://www.catalogodasartes.com.br/obra/tDtA/,True,,Composição,60.0,False,,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Soraia Cals Leilão maio/2004,46.0,58.0,2827.59
Vicente do Rego Monteiro,Nanquim,,Pinturas,,,2009,26400.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_41795.jpg,https://www.catalogodasartes.com.br/obra/UDAPB/,False,,s/t,,False,Cat. B. A.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Celso Albano Novembro de 2009.,77.0,57.0,14117.65
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2012,148000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_74602.jpg,https://www.catalogodasartes.com.br/obra/AUteG/,False,,Violon D'ingres,60.0,False,"Violon D'ingres, Óleo s/tela, 68 x 60 cm, ass. superior direito, dat. Recife 1969. Participou da última exposição individual do artista ainda vivo em 1970 na Galeria Ranulpho. Reproduzido na monografia de autoria do crítico de arte Walmir Ayala, com a qual ganhou o prêmio Funart. Será reproduzido no livro Vicente do Rego Monteiro - Um olhar sobre a década de 60",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão das Galerias 13 de março de 2012,60.0,68.0,81767.96
Vicente do Rego Monteiro,Monotipia sobre cartão,,Pinturas,,,2011,80000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_68380.jpg,https://www.catalogodasartes.com.br/obra/tczce/,False,,Vaso de Flores,,False,Esta obra/objeto não foi vendida durante o pregão. O Catálogo das Artes não recebe informações de negociações posteriores ao leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,James Lisboa -Leilão dia 21/11/2011,49.5,67.0,45197.74
Vicente do Rego Monteiro,Nanquim,,Pinturas,,,1998,2100.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1438.jpg,https://www.catalogodasartes.com.br/obra/DUzc/,True,,Retrato de Mulher,20.0,False,,20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Bolsa de Arte do Rio de Janeiro,17.5,26.0,1721.31
Vicente do Rego Monteiro,Desenho a nanquim,,Pinturas,,,2013,3000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_127900.jpg,https://www.catalogodasartes.com.br/obra/DGAPee/,True,,Menino,20.0,False,"Menino - desenho a nanquim - 19 x 12 cm - canto inferior direito - 1924 - No estado. - Esta obra entrou em leilão com o lance inicial de R$3.000,00",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão Tableau 8 a 10 de Outubro de 2013,12.0,19.0,1363.64
Vicente do Rego Monteiro,Óleo sobre Tela,,Pinturas,,,2017,129000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_755194.jpg,https://www.catalogodasartes.com.br/obra/ABBDPU/,False,,Leda e o cisne,60.0,False,"Leda e o cisne. Óleo sobre tela, 130x90 cm, déc. 60, A.C.I.D. - Texto transcrito do catálogo do leilão.",20.0,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão M. Mizrahi 27 de Junho de 2017,90.0,130.0,38972.81
Vicente do Rego Monteiro,Óleo sobre cartão,,Pinturas,,,2017,60000.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_775849.jpg,https://www.catalogodasartes.com.br/obra/AABcUP/,False,,Mulher com Violino,,False,Mulher com Violino 55x46 cm óleo diluído sobre cartão ass. inf. dir. s/d Ex-coleção de Luciènne Géo-Charles (Madame Charles Guyot). - Texto transcrito do catálogo do leilão.,,https://www.catalogodasartes.com.br/cotacao/artista/Vicente%20do%20Rego%20Monteiro/,Leilão James Lisboa 27 a 29 de Novembro de 2017,46.0,55.0,18633.54
