Artist,Technique,Year,Type,Width (cm),Height (cm),Year of sale,Price (BRL),img_url,url,Sold,Technique_fix,Título,Década,Error,Descrição,Século,artist_link,Fonte de Pesquisa,Width,Height,Price (USD)
Amilcar de Castro,Acrílica sobre tela,1986.0,Pinturas,100.0,80.0,2002,14700.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Guache sobre eucatex,1966.0,Pinturas,35.0,50.0,2003,20000.0,,,,pintura,,,,,,,,,,
Yolanda Lederer Mohalyi,Guache,,Pinturas,73.5,43.0,2003,9450.0,,,,pintura,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre madeira,,Pinturas,46.0,38.0,2000,55000.0,,,,pintura,,,,,,,,,,
Tadashi Kaminagai,Óleo sobre Tela,1973.0,Pinturas,56.0,47.0,2007,4000.0,,,,pintura,,,,,,,,,,
Antonio Augusto Marx,Óleo sobre Tela,1986.0,Pinturas,60.0,70.0,2007,1000.0,,,,pintura,,,,,,,,,,
Maria Leontina Franco Da Costa,Óleo sobre Tela,1963.0,Pinturas,81.0,100.0,2007,67000.0,,,,pintura,,,,,,,,,,
Jos,Sanguinea,1943.0,Pinturas,28.0,45.0,2007,2500.0,,,,outro,,,,,,,,,,
Anna Letycia,Acrílica sobre papel,2000.0,Pinturas,76.5,58.0,2007,2400.0,,,,pintura,,,,,,,,,,
Manabu Mabe,Óleo sobre Tela,1960.0,Pinturas,131.0,132.0,2007,136000.0,,,,pintura,,,,,,,,,,
Jorge Guinle Filho,Pastel e colagem sobre cartão,1980.0,Pinturas,14.0,20.0,2007,1100.0,,,,pintura,,,,,,,,,,
Juarez Machado,Óleo sobre madeira,,Pinturas,158.0,155.0,2007,25000.0,,,,pintura,,,,,,,,,,
Antonio Dias,"Acrílica,folha de ouro e cobre sobre cartão colado sobre eucatex",,Pinturas,113.0,77.0,2003,70000.0,,,,pintura,,,,,,,,,,
Jose Paulo Moreira da Fonseca,Óleo sobre Tela,1970.0,Pinturas,26.0,34.0,2007,1900.0,,,,pintura,,,,,,,,,,
Nicolau Antonio Facchinetti,Óleo sobre madeira,1900.0,Pinturas,39.5,9.5,2007,77000.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Óleo sobre madeira,1958.0,Pinturas,20.0,12.0,2005,45000.0,,,,pintura,,,,,,,,,,
Juarez Machado,Óleo sobre Tela,1997.0,Pinturas,46.0,61.0,2007,6000.0,,,,pintura,,,,,,,,,,
Emeric Marcier,Lápis de cera,1967.0,Pinturas,31.0,22.0,2007,800.0,,,,desenho,,,,,,,,,,
Georges Wambach,Óleo sobre Tela,1956.0,Pinturas,100.0,65.0,2007,4600.0,,,,pintura,,,,,,,,,,
Ione Saldanha,Óleo sobre Tela,1948.0,Pinturas,73.0,60.0,2007,14000.0,,,,pintura,,,,,,,,,,
Roberto Burle Marx,Nanquim e aguada sobre papel,1989.0,Pinturas,65.5,51.0,2007,3700.0,,,,desenho,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1950.0,Pinturas,65.0,46.0,2000,96600.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1960.0,Pinturas,54.0,73.0,2000,210000.0,,,,pintura,,,,,,,,,,
Vincenzo Cencin,Óleo sobre Tela,,Pinturas,40.0,30.0,2007,1000.0,,,,pintura,,,,,,,,,,
Ant,"Nanquim,guache e aquarela",1958.0,Pinturas,60.0,35.0,2007,25000.0,,,,pintura,,,,,,,,,,
Alexandre Rapoport,Acrílica sobre chapa de madeira industrializada,1983.0,Pinturas,46.5,65.0,2007,3000.0,,,,pintura,,,,,,,,,,
Ant,Óleo sobre Tela,1965.0,Pinturas,81.0,100.0,2000,178500.0,,,,pintura,,,,,,,,,,
Takashi Fukushima,Acrílica sobre tela,1985.0,Pinturas,80.0,60.0,2007,3000.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Carvão sobre papel,1940.0,Pinturas,94.0,68.0,2007,25000.0,,,,desenho,,,,,,,,,,
Samson Flexor,Óleo sobre Tela,,Pinturas,62.0,51.0,2007,10000.0,,,,pintura,,,,,,,,,,
Vicente do Rego Monteiro,monotipia,1955.0,Pinturas,28.5,38.5,2000,3150.0,,,,outro,,,,,,,,,,
Alberto Guignard,Óleo sobre madeira,1950.0,Pinturas,45.0,66.0,1998,26250.0,,,,pintura,,,,,,,,,,
Siron Franco,Óleo sobre Tela,1986.0,Pinturas,170.0,180.0,2000,29000.0,,,,pintura,,,,,,,,,,
Dionisio Del Santo,Guache,1986.0,Pinturas,30.0,22.0,2007,1200.0,,,,pintura,,,,,,,,,,
Rubens Gerchman,Óleo sobre Tela,,Pinturas,100.0,140.0,2007,15000.0,,,,pintura,,,,,,,,,,
Ione Saldanha,Óleo sobre Tela,1954.0,Pinturas,50.0,65.0,2007,22000.0,,,,pintura,,,,,,,,,,
Kazuo Wakabayashi,Serigrafia,2003.0,Pinturas,,,2005,300.0,,,,reprodução,,,,,,,,,,
Ant,Aquarela e nanquim,1952.0,Pinturas,18.0,13.5,2002,5550.0,,,,pintura,,,,,,,,,,
Pedro Correia de Araujo,Óleo sobre tela colada sobre placa,1931.0,Pinturas,89.0,68.0,2007,10100.0,,,,pintura,,,,,,,,,,
Jose Maria de Almeida,Óleo sobre Tela,1965.0,Pinturas,55.0,38.0,2007,1000.0,,,,pintura,,,,,,,,,,
Tomas Santa Rosa Junior,Óleo sobre Tela,1956.0,Pinturas,78.5,50.0,2007,6000.0,,,,pintura,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,2004.0,Pinturas,100.0,90.0,2007,8000.0,,,,pintura,,,,,,,,,,
Joseph Beuys,Impressão offset com carimbo sobre papel,1974.0,Pinturas,29.7,21.0,2007,2900.0,,,,outro,,,,,,,,,,
Antonio Dias,nan,1973.0,Pinturas,195.0,55.0,2001,94500.0,,,,outro,,,,,,,,,,
Francisco Coculilo,Óleo sobre cartão,1930.0,Pinturas,40.0,33.0,2007,2000.0,,,,pintura,,,,,,,,,,
Jose Paulo Moreira da Fonseca,Óleo sobre Tela,,Pinturas,28.0,35.0,2007,250.0,,,,pintura,,,,,,,,,,
Rodolfo Amoedo,Óleo sobre tela colada sobre placa,,Pinturas,27.0,19.0,2003,9000.0,,,,pintura,,,,,,,,,,
Ivan Serpa,Nanquim e aguada sobre papel,1962.0,Pinturas,21.0,27.0,2007,4800.0,,,,desenho,,,,,,,,,,
Clodomiro Amazonas Monteiro,Óleo sobre madeira,,Pinturas,21.0,18.0,2007,1900.0,,,,pintura,,,,,,,,,,
Tomie Ohtake,Litografia,,Pinturas,,,2007,800.0,,,,reprodução,,,,,,,,,,
Manuel Messias dos Santos,Xilogravura sobre entretela,,Pinturas,12.5,82.0,2007,337.5,,,,reprodução,,,,,,,,,,
Roberto Burle Marx,Guache sobre papel,1994.0,Pinturas,50.5,44.0,2007,2500.0,,,,pintura,,,,,,,,,,
Reynaldo Fonseca,Pastel e colagem sobre cartão,1982.0,Pinturas,50.0,70.0,2007,5000.0,,,,pintura,,,,,,,,,,
Rubens Gerchman,Nanquim sobre papel,1965.0,Pinturas,68.0,52.0,2007,3600.0,,,,desenho,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1963.0,Pinturas,92.0,72.5,2007,18000.0,,,,pintura,,,,,,,,,,
Jose Bechara,Lona oxidada,1995.0,Pinturas,242.0,61.0,2004,11500.0,,,,outro,,,,,,,,,,
Carlos Bracher,Óleo sobre Tela,1978.0,Pinturas,81.0,60.0,2007,5000.0,,,,pintura,,,,,,,,,,
Edgar Walter,Óleo sobre duratex,,Pinturas,45.0,40.0,2007,2200.0,,,,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1984.0,Pinturas,100.0,81.0,2007,27000.0,,,,pintura,,,,,,,,,,
Ranchinho,Guache sobre cartão,1985.0,Pinturas,50.0,35.0,2007,1900.0,,,,pintura,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,2004.0,Pinturas,100.0,90.0,2007,8000.0,,,,pintura,,,,,,,,,,
Jos,Óleo sobre madeira,,Pinturas,19.5,12.0,2007,11000.0,,,,pintura,,,,,,,,,,
Ismael Nery,Desenho à lápis,,Pinturas,14.0,26.0,2007,12000.0,,,,desenho,,,,,,,,,,
Aluisio Carvao,Óleo sobre Tela,1996.0,Pinturas,46.0,37.5,2004,5000.0,,,,pintura,,,,,,,,,,
Ant,Aquarela e monotipia de aquarela sobre papel,1967.0,Pinturas,37.0,40.0,2007,10000.0,,,,pintura,,,,,,,,,,
Joseph Beuys,Impressão offset com carimbo sobre papel,1978.0,Pinturas,20.0,30.0,2007,2800.0,,,,outro,,,,,,,,,,
Wilson Vicente de Paula,Óleo sobre cartão,,Pinturas,65.0,47.0,2007,320.0,,,,pintura,,,,,,,,,,
Oswaldo Goeldi,Xilogravura,1973.0,Pinturas,29.0,21.0,2007,2500.0,,,,reprodução,,,,,,,,,,
Dakir Parreiras,Óleo sobre Tela,,Pinturas,73.0,92.0,2007,2800.0,,,,pintura,,,,,,,,,,
Jose Paulo Moreira da Fonseca,Óleo sobre duratex,,Pinturas,20.0,50.0,2007,980.0,,,,pintura,,,,,,,,,,
Claudio Jose Tozzi,Liquitex sobre tela,1979.0,Pinturas,120.0,120.0,2007,11000.0,,,,outro,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1947.0,Pinturas,59.5,103.0,1997,420000.0,,,,pintura,,,,,,,,,,
Grauben do Monte Lima,Óleo sobre Tela,,Pinturas,27.0,45.0,2007,1700.0,,,,pintura,,,,,,,,,,
Candido Portinari,Grafite,1957.0,Pinturas,49.5,35.0,2004,50000.0,,,,desenho,,,,,,,,,,
Vladimir Bolgarsky Boregard,Óleo sobre Tela,,Pinturas,115.0,75.0,2007,8500.0,,,,pintura,,,,,,,,,,
Waltercio Caldas,Nanquim,,Pinturas,13.0,11.0,2007,13000.0,,,,desenho,,,,,,,,,,
Alberto Guignard,Óleo sobre Tela,1961.0,Pinturas,40.0,50.0,1999,430500.0,,,,pintura,,,,,,,,,,
Siron Franco,Óleo sobre Tela,1997.0,Pinturas,155.0,135.0,2005,33000.0,,,,pintura,,,,,,,,,,
Ken Fukuda,Óleo sobre Tela,2000.0,Pinturas,140.0,100.0,2007,3000.0,,,,pintura,,,,,,,,,,
Roberto Burle Marx,Nanquim e aguada sobre papel,1983.0,Pinturas,77.0,57.0,2007,3600.0,,,,desenho,,,,,,,,,,
Maria Leontina Franco Da Costa,Óleo sobre Tela,1967.0,Pinturas,100.0,100.0,2007,85000.0,,,,pintura,,,,,,,,,,
Antonio Poteiro,Óleo sobre Tela,,Pinturas,100.0,90.0,2007,6900.0,,,,pintura,,,,,,,,,,
Eugenio Latour,Óleo sobre madeira,1939.0,Pinturas,25.0,24.5,2007,3100.0,,,,pintura,,,,,,,,,,
Daniel Senise,Óleo sobre papel,1987.0,Pinturas,100.0,80.0,2007,12000.0,,,,pintura,,,,,,,,,,
Jose Antonio da Silva,Óleo sobre Tela,1973.0,Pinturas,100.0,70.0,2007,10000.0,,,,pintura,,,,,,,,,,
Mar,Óleo sobre Tela,1989.0,Pinturas,135.0,127.0,2007,4300.0,,,,pintura,,,,,,,,,,
Reynaldo Fonseca,Desenho à caneta,1980.0,Pinturas,14.0,18.0,2007,600.0,,,,desenho,,,,,,,,,,
Siron Franco,Óleo sobre Tela,,Pinturas,155.0,135.0,2003,57750.0,,,,pintura,,,,,,,,,,
Emmanuel Nassar,Óleo sobre Tela,1987.0,Pinturas,100.0,100.0,2007,11500.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Óleo sobre madeira,1959.0,Pinturas,40.0,50.0,2007,400000.0,,,,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,1965.0,Pinturas,61.0,74.0,2007,18000.0,,,,pintura,,,,,,,,,,
Candido Portinari,Óleo sobre Tela,1954.0,Pinturas,46.0,55.0,1997,241500.0,,,,pintura,,,,,,,,,,
Evandro Carlos Jardim,Técnica Mista,1976.0,Pinturas,62.0,43.0,2007,1500.0,,,,outro,,,,,,,,,,
Fernandes Lemos,Óleo sobre Tela,1969.0,Pinturas,90.0,90.0,2007,9500.0,,,,pintura,,,,,,,,,,
Carlos Scliar,Vinil e colagem encerado sobre tela colado sobre placa,1981.0,Pinturas,37.0,56.0,2007,3500.0,,,,pintura,,,,,,,,,,
Renina Katz Pedreira,Gravura,1984.0,Pinturas,53.0,74.0,2007,500.0,,,,reprodução,,,,,,,,,,
J,Nanquim sobre papel,1940.0,Pinturas,22.0,19.5,2007,1700.0,,,,desenho,,,,,,,,,,
Sylvio Pinto,Pastel e colagem sobre cartão,1947.0,Pinturas,38.0,27.0,2007,1500.0,,,,pintura,,,,,,,,,,
Rosina Becker do Valle,Guache sobre cartão,1958.0,Pinturas,67.0,43.0,2007,2900.0,,,,pintura,,,,,,,,,,
Luis Marques Borges da Costa,Óleo sobre Tela,1939.0,Pinturas,33.0,24.0,2007,2500.0,,,,pintura,,,,,,,,,,
Ivan Serpa,Têmpera sobre cartão colada em chapa de madeira,1961.0,Pinturas,53.0,34.5,2007,14000.0,,,,pintura,,,,,,,,,,
Hector Julio Paride Bernab,Vinil sobre papel colado em madeira,1986.0,Pinturas,35.0,50.0,2007,15000.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre madeira,,Pinturas,35.0,45.0,2007,250000.0,,,,pintura,,,,,,,,,,
Darel Valen,Óleo sobre tela colada sobre placa,1969.0,Pinturas,140.0,90.0,2007,14000.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Aquarela e nanquim sobre papel,1928.0,Pinturas,12.0,27.0,2007,40500.0,,,,pintura,,,,,,,,,,
Ivald Granato,Guache sobre papel,1968.0,Pinturas,27.0,20.5,2007,1200.0,,,,pintura,,,,,,,,,,
Milton Dacosta,Desenho,1974.0,Pinturas,14.0,20.0,2007,800.0,,,,desenho,,,,,,,,,,
Ant,Guache,1956.0,Pinturas,41.0,47.0,1999,7350.0,,,,pintura,,,,,,,,,,
Fulvio Pennacchi,Técnica Mista,1986.0,Pinturas,16.0,21.0,2007,2500.0,,,,outro,,,,,,,,,,
Gilberto Orcioli Salvador,Acrílica sobre tela,,Pinturas,100.0,80.0,2007,4000.0,,,,pintura,,,,,,,,,,
Fernando Velloso,Técnica Mista,1998.0,Pinturas,220.0,50.0,2007,5200.0,,,,outro,,,,,,,,,,
Aldemir Martins,Acrílica sobre tela,1995.0,Pinturas,46.0,27.0,2007,3000.0,,,,pintura,,,,,,,,,,
Carlos Balliester,Óleo sobre Tela,1911.0,Pinturas,70.0,40.0,2007,14000.0,,,,pintura,,,,,,,,,,
Sylvio Pinto,Óleo sobre Tela,1955.0,Pinturas,130.0,65.0,2007,4000.0,,,,pintura,,,,,,,,,,
Ant,Óleo sobre Tela,1955.0,Pinturas,46.0,41.0,2005,150000.0,,,,pintura,,,,,,,,,,
Mario Zanini,Óleo sobre Tela,,Pinturas,48.0,62.0,2007,2600.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Técnica Mista,,Pinturas,32.0,50.0,2007,17900.0,,,,outro,,,,,,,,,,
Ado Malagoli,Óleo sobre Tela,,Pinturas,61.0,51.0,2007,5000.0,,,,pintura,,,,,,,,,,
Cleber Gouvea,Óleo sobre tela colada sobre placa,1980.0,Pinturas,100.0,100.0,2007,3500.0,,,,pintura,,,,,,,,,,
Yolanda Lederer Mohalyi,Óleo sobre Tela,,Pinturas,130.0,150.0,2007,86000.0,,,,pintura,,,,,,,,,,
Ismael Nery,Técnica Mista,,Pinturas,14.0,22.0,2007,9800.0,,,,outro,,,,,,,,,,
Helio Oiticica,Guache sobre cartão,1958.0,Pinturas,57.5,52.5,2007,126000.0,,,,pintura,,,,,,,,,,
Roberto Burle Marx,Acrílica sobre tela,1986.0,Pinturas,100.0,80.0,2007,35000.0,,,,pintura,,,,,,,,,,
Siron Franco,Acrílica sobre tela,1984.0,Pinturas,90.0,110.0,2000,15750.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre madeira,,Pinturas,21.0,19.0,2003,7000.0,,,,pintura,,,,,,,,,,
Amilcar de Castro,Acrílica sobre tela,1998.0,Pinturas,150.0,150.0,2005,35000.0,,,,pintura,,,,,,,,,,
Edgard Oehlmeyer,Óleo sobre Tela,1949.0,Pinturas,62.0,81.0,2007,4100.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Guache sobre eucatex,1968.0,Pinturas,33.0,47.0,2003,18500.0,,,,pintura,,,,,,,,,,
Arc,Óleo sobre Tela,1972.0,Pinturas,80.0,100.0,2007,45500.0,,,,pintura,,,,,,,,,,
Vicente do Rego Monteiro,Óleo sobre cartão,1950.0,Pinturas,38.0,46.0,1997,38850.0,,,,pintura,,,,,,,,,,
Antonio Dias,"Óleo,tinta plástica e gesso sobre madeira",1962.0,Pinturas,50.5,70.0,1998,7880.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre Tela,1964.0,Pinturas,59.5,66.5,2003,10000.0,,,,pintura,,,,,,,,,,
Roberto Burle Marx,Acrílica sobre tela,1993.0,Pinturas,148.0,112.0,2007,80000.0,,,,pintura,,,,,,,,,,
Carlos Bracher,Óleo sobre Tela,1979.0,Pinturas,81.0,60.0,2007,3200.0,,,,pintura,,,,,,,,,,
Jose de Dome,Óleo sobre Tela,1963.0,Pinturas,81.0,60.0,2007,10000.0,,,,pintura,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre Tela,,Pinturas,43.0,25.0,2003,15000.0,,,,pintura,,,,,,,,,,
Osvaldo Gaia,Técnica Mista,2003.0,Pinturas,34.0,45.0,2007,2800.0,,,,outro,,,,,,,,,,
Ricardo Ferrari,Óleo sobre Tela,,Pinturas,110.0,80.0,2007,2500.0,,,,pintura,,,,,,,,,,
Jose Antonio da Silva,Desenho,,Pinturas,23.0,32.0,2007,1100.0,,,,desenho,,,,,,,,,,
Milton Dacosta,Litografia,1950.0,Pinturas,54.0,54.0,2007,2000.0,,,,reprodução,,,,,,,,,,
Alexandre Rapoport,Óleo sobre eucatex,1995.0,Pinturas,46.0,60.0,2007,6000.0,,,,pintura,,,,,,,,,,
Aldemir Martins,Óleo sobre Tela,1975.0,Pinturas,82.0,35.0,2007,25000.0,,,,pintura,,,,,,,,,,
Daniel Senise,Acrílica sobre papel colada sobre eucatex,1985.0,Pinturas,97.0,104.0,2007,5000.0,,,,pintura,,,,,,,,,,
Jose Leonilson Bezerra Dias,Guache e monotipia de guache sobre papel,1982.0,Pinturas,22.0,33.0,2007,3700.0,,,,pintura,,,,,,,,,,
Jose Ferraz de Almeida Junior,Lápis,,Pinturas,7.0,10.0,2007,2100.0,,,,desenho,,,,,,,,,,
Alfredo Volpi,Têmpera sobre tela,,Pinturas,33.0,24.0,2007,43000.0,,,,pintura,,,,,,,,,,
Samson Flexor,Óleo sobre Tela,1936.0,Pinturas,61.0,37.0,2007,24000.0,,,,pintura,,,,,,,,,,
Jose Leonilson Bezerra Dias,"guache e tintas dourada,preta e cobre sobre papel fabriano",,Pinturas,70.0,100.0,2007,9700.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Aquarela e Pastel,1940.0,Pinturas,47.0,59.0,1997,92400.0,,,,pintura,,,,,,,,,,
Decio Rodrigues Villares,Óleo sobre Tela,1892.0,Pinturas,46.0,61.0,2007,1600.0,,,,pintura,,,,,,,,,,
Manoel Santiago,Óleo sobre Tela,1947.0,Pinturas,39.0,46.0,2007,14000.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Óleo sobre Tela,1940.0,Pinturas,46.0,56.0,1998,31500.0,,,,pintura,,,,,,,,,,
Eugenio Latour,Aquarela e grafite sobre papel,1932.0,Pinturas,32.0,24.5,2007,1000.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre Tela,1970.0,Pinturas,65.5,50.0,2003,70000.0,,,,pintura,,,,,,,,,,
Rubens Gerchman,Óleo sobre Tela,,Pinturas,120.0,65.0,2007,9000.0,,,,pintura,,,,,,,,,,
Wesley Duke Lee,Gravura,,Pinturas,57.0,76.0,2007,1400.0,,,,reprodução,,,,,,,,,,
Marcos Coelho Benjamim,Técnica Mista,,Pinturas,75.0,53.0,2007,4000.0,,,,outro,,,,,,,,,,
Carlos Scliar,Vinil encerado,1983.0,Pinturas,26.0,37.0,2007,1500.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre Tela,1964.0,Pinturas,92.0,50.0,2003,73500.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Desenho a tinta sobre papel,1958.0,Pinturas,13.0,20.0,2000,6000.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Aquarela,1931.0,Pinturas,24.0,32.0,2004,7000.0,,,,pintura,,,,,,,,,,
Aldo Bonadei,Óleo sobre Tela,1945.0,Pinturas,52.0,47.0,2003,48000.0,,,,pintura,,,,,,,,,,
Sergio Telles,Óleo sobre Tela,1980.0,Pinturas,53.0,46.0,2007,4500.0,,,,pintura,,,,,,,,,,
Ant,Nanquim e aguada,1960.0,Pinturas,37.0,20.0,2005,7000.0,,,,desenho,,,,,,,,,,
Carlos Scliar,Vinil encerado sobre tela,1977.0,Pinturas,26.0,37.0,2007,1700.0,,,,pintura,,,,,,,,,,
Clovis Junior,Acrílica sobre tela,2006.0,Pinturas,80.0,100.0,2007,3000.0,,,,pintura,,,,,,,,,,
Orlando Teruz,Óleo sobre Tela,,Pinturas,62.0,65.0,2007,15000.0,,,,pintura,,,,,,,,,,
Anna Letycia,Gravura,,Pinturas,57.5,76.0,2007,500.0,,,,reprodução,,,,,,,,,,
Manoel Martins Menacho,Óleo sobre Tela,1987.0,Pinturas,50.0,61.0,2007,1700.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1948.0,Pinturas,54.0,64.0,2000,170000.0,,,,pintura,,,,,,,,,,
Joao Baptista da Costa,Óleo sobre madeira,,Pinturas,41.0,32.0,2002,17850.0,,,,pintura,,,,,,,,,,
Yara Tupynamba,Acrílica sobre tela,1991.0,Pinturas,40.0,50.0,2007,2600.0,,,,pintura,,,,,,,,,,
Maria Leontina Franco Da Costa,Óleo sobre Tela,1967.0,Pinturas,60.0,73.0,2007,11300.0,,,,pintura,,,,,,,,,,
Walter Lewy,Óleo sobre Tela,1952.0,Pinturas,65.0,54.0,2007,1500.0,,,,pintura,,,,,,,,,,
Ibere Camargo,Nanquim sobre papel,1964.0,Pinturas,24.5,35.0,2007,2125.0,,,,desenho,,,,,,,,,,
Jose Marques Camp,Óleo sobre chapa de madeira industrializada,1946.0,Pinturas,73.0,61.0,2007,3000.0,,,,pintura,,,,,,,,,,
Antonio Dias,"Acrílica,grafite e colagem",1991.0,Pinturas,100.0,70.0,2005,19000.0,,,,pintura,,,,,,,,,,
Ibere Camargo,Óleo sobre Tela,1986.0,Pinturas,40.0,57.0,2007,73000.0,,,,pintura,,,,,,,,,,
Kuno Schiefer,Tinta acrílica sobre tela,1986.0,Pinturas,203.0,150.0,2007,6600.0,,,,pintura,,,,,,,,,,
Henrique Bernardelli,Óleo sobre Tela,1915.0,Pinturas,40.0,53.0,1998,14700.0,,,,pintura,,,,,,,,,,
Claudio Jose Tozzi,Acrílica sobre tela colada sobre madeira,1980.0,Pinturas,100.0,100.0,2007,14500.0,,,,pintura,,,,,,,,,,
Candido Portinari,Nanquim,1943.0,Pinturas,27.0,38.0,1999,4730.0,,,,desenho,,,,,,,,,,
J,Desenho,,Pinturas,35.0,27.0,2007,2500.0,,,,desenho,,,,,,,,,,
Emeric Marcier,Guache sobre papel,1953.0,Pinturas,47.0,50.0,2007,3000.0,,,,pintura,,,,,,,,,,
Athos Bulc,Óleo sobre chapa de madeira industrializada,1967.0,Pinturas,65.0,37.5,2007,10100.0,,,,pintura,,,,,,,,,,
Pit,Óleo sobre placa,2000.0,Pinturas,66.0,50.0,2007,2000.0,,,,pintura,,,,,,,,,,
Lula Cardoso Ayres,Óleo sobre Tela,1975.0,Pinturas,80.0,80.0,2007,13900.0,,,,pintura,,,,,,,,,,
Edgar Walter,Óleo sobre duratex,,Pinturas,45.0,40.0,2007,2200.0,,,,pintura,,,,,,,,,,
Mitsutaka Kogure,Óleo sobre Tela,,Pinturas,91.0,117.0,2007,2500.0,,,,pintura,,,,,,,,,,
Alexandre Rapoport,Óleo sobre eucatex,1986.0,Pinturas,32.0,47.0,2007,2000.0,,,,pintura,,,,,,,,,,
Vittorio Gobbis,Óleo sobre Tela,1949.0,Pinturas,65.0,54.0,2007,1000.0,,,,pintura,,,,,,,,,,
Mira Schendel,monotipia,1963.0,Pinturas,23.0,47.0,2007,2300.0,,,,outro,,,,,,,,,,
Inima Jos,Óleo sobre Tela,1967.0,Pinturas,73.0,60.0,2007,23000.0,,,,pintura,,,,,,,,,,
Antonio Manuel de Oliveira,"Litografia,ecoline e nanquim sobre papel",1977.0,Pinturas,40.5,59.0,2007,3500.0,,,,desenho,,,,,,,,,,
Zelia Ferreira Salgado,Óleo sobre Tela,1947.0,Pinturas,64.0,80.0,2007,5500.0,,,,pintura,,,,,,,,,,
Ant,Óleo sobre Tela,1964.0,Pinturas,73.0,60.0,2005,60000.0,,,,pintura,,,,,,,,,,
Georges,Litografia sobre papel,1950.0,Pinturas,36.0,54.0,2007,1600.0,,,,reprodução,,,,,,,,,,
Santa,Óleo sobre Tela,,Pinturas,70.0,50.0,2007,1200.0,,,,pintura,,,,,,,,,,
Fulvio Pennacchi,Técnica Mista,1973.0,Pinturas,11.0,12.0,2007,1100.0,,,,outro,,,,,,,,,,
Adilson Daparecida,Óleo sobre Tela,2007.0,Pinturas,60.0,100.0,2007,600.0,,,,pintura,,,,,,,,,,
Pedro Weingartner,Óleo sobre cartão,1909.0,Pinturas,50.0,24.0,2007,36000.0,,,,pintura,,,,,,,,,,
Lasar Segall,Xilogravura,1943.0,Pinturas,20.0,20.5,2007,2700.0,,,,reprodução,,,,,,,,,,
Rogerio Tunes,Acrílica sobre tela,2004.0,Pinturas,72.0,115.0,2007,3500.0,,,,pintura,,,,,,,,,,
Alberto Guignard,Aquarela e nanquim,1950.0,Pinturas,12.5,31.0,2003,21000.0,,,,pintura,,,,,,,,,,
Tomie Ohtake,Acrílica sobre tela,1983.0,Pinturas,251.0,201.0,2007,110000.0,,,,pintura,,,,,,,,,,
Rubens Ferreira das Trinas,Técnica Mista,,Pinturas,24.0,34.0,2007,700.0,,,,outro,,,,,,,,,,
Flavio Shiro Tanaka,Óleo sobre Tela,1968.0,Pinturas,102.0,96.0,2007,22500.0,,,,pintura,,,,,,,,,,
Cicero Dias,Óleo sobre Tela,,Pinturas,50.0,60.0,2007,196000.0,,,,pintura,,,,,,,,,,
Dario Mecatti,Óleo sobre madeira,1940.0,Pinturas,40.0,27.5,2007,2300.0,,,,pintura,,,,,,,,,,
Ivan Serpa,Nanquim e aguada sobre papel,1962.0,Pinturas,21.0,27.0,2007,4500.0,,,,desenho,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,,Pinturas,50.0,61.0,2007,170000.0,,,,pintura,,,,,,,,,,
Mario Zanini,Óleo sobre Tela,,Pinturas,65.5,54.0,2007,10800.0,,,,pintura,,,,,,,,,,
Candido Portinari,Nanquim,,Pinturas,20.5,19.5,2005,7800.0,,,,desenho,,,,,,,,,,
Alfredo Andersen,Óleo sobre Tela,1898.0,Pinturas,30.0,40.5,1999,18900.0,,,,pintura,,,,,,,,,,
Abelardo Zaluar,Óleo sobre tela colada sobre placa,1974.0,Pinturas,75.0,122.0,2007,4000.0,,,,pintura,,,,,,,,,,
Di Cavalcanti,Óleo sobre Tela,1945.0,Pinturas,89.0,116.0,1997,724500.0,,,,pintura,,,,,,,,,,
