Year,artist_link,Descrição,Fonte de Pesquisa,Error,Type,Século,Artist,Título,url,Década,img_url,Technique,Height (cm),Width (cm),Price (BRL),Price (USD),Technique_fix,Sold,Year of sale
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,178/200,Aguinaldo Art Gallery Outubro/2007,False,Pinturas,,Victor Vasarely,Geometria,https://www.catalogodasartes.com.br/obra/cADU/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_8714.jpg,Serigrafia,60.0,75.0,1400.0,682.93,reprodução,False,2007
1959.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,Boiadeiros 21 x 34 cm sépia sobre papel ass. inf. dir. 1959 - Texto transcrito do catálogo do leilão.,Leilão James Lisboa 20 de Março de 2017,False,Pinturas,20.0,Candido Portinari,Boiadeiros,https://www.catalogodasartes.com.br/obra/AUBAzB/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_745735.jpg,Sépia sobre papel,34.0,21.0,40000.0,12903.23,outro,False,2017
1986.0,https://www.catalogodasartes.com.br/cotacao/artista/Rubem%20Valentim%20-%20Ruben%20Valentim/,,Celso Albano Artes e Antiguidades,False,Pinturas,20.0,Rubem Valentim,Emblema,https://www.catalogodasartes.com.br/obra/DAUP/,80.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1749.jpg,Acrílica sobre tela,27.0,41.0,5000.0,2500.0,pintura,True,2007
1980.0,https://www.catalogodasartes.com.br/cotacao/artista/Cleber%20Gouvea/,,Celso Albano Artes e Antiguidades,False,Pinturas,20.0,Cleber Gouvea,Caixa de Germinar III,https://www.catalogodasartes.com.br/obra/DAez/,80.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1703.jpg,Óleo sobre tela colada sobre placa,100.0,100.0,3500.0,1750.0,pintura,False,2007
1944.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Reproduzido no Raisonné do Artista, vol. II, à pág. 481, sob o registro nº 2113.Esta obra entrou em leilão com lance inicial de R$ 600.000,00 , não tendo sido vendida durante o pregão.O Catálogo das Artes não recebe informações de negociações posteriores ao leilão.",James Lisboa -Leilão dia 21/11/2011,False,Pinturas,20.0,Candido Portinari,Anturios,https://www.catalogodasartes.com.br/obra/tcDzD/,40.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_68131.jpg,Óleo sobre Tela,60.0,74.0,600000.0,338983.05,pintura,False,2011
,https://www.catalogodasartes.com.br/cotacao/artista/Marc%20Chagall/,Figura e bichos - serigrafia 173/335 - 36 x 26 cm - marca d agua. - Texto transcrito do catálogo do leilão.,Leilão Paulo Louvatto 15 de Setembro de 2014,False,Pinturas,,Marc Chagall,Figura e bichos,https://www.catalogodasartes.com.br/obra/DBeAPA/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_150797.jpg,Serigrafia,26.0,36.0,800.0,344.83,reprodução,False,2014
2003.0,https://www.catalogodasartes.com.br/cotacao/artista/Emmanuel%20Nassar%20-%20Emmanuel%20da%20Cunha%20Nassar/,,Bolsa de Arte do Rio de Janeiro,False,Pinturas,21.0,Emmanuel Nassar,Sem Título,https://www.catalogodasartes.com.br/obra/DGBe/,0.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1250.jpg,Acrílica sobre tela,90.0,90.0,10000.0,4761.9,pintura,True,2007
1955.0,https://www.catalogodasartes.com.br/cotacao/artista/Candido%20Portinari%20%281903-1962%29/,"Cândido Portinari - Retirantes III - Desenho a lápis de cor sobre papel - 28 x 35 cm - 1955 - Assinado e datado no canto inferior direito ""Portinari 55"".Reproduzido no Catálogo Raisonné - vol. III, pg 480;Reproduzido no livro Portinari - A Construção de uma Obra, Ed. Dom Quixote, pg 151; Participou da Exposição ""Portinari, oil paintings and drawings"", 1956, Israel; ""Portinari: oeuvres récentes"", Maison de la Penseé Française, Paris, 1957. - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$135.000,00",Leilão Dom Quixote Galeria de Arte 19 de Novembro de 2019,False,Pinturas,20.0,Candido Portinari,Retirantes III,https://www.catalogodasartes.com.br/obra/PGceAD/,50.0,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_928071.jpg,Desenho à lápis de cor sobre papel,35.0,28.0,135000.0,31990.52,desenho,True,2019
,https://www.catalogodasartes.com.br/cotacao/artista/Arthur%20Luiz%20Piza%20-%20Arthur%20Piza%20-%20Artur%20Piza/,,Vitor Braga Leiloes,False,Pinturas,,Arthur Luiz Piza,Composição,https://www.catalogodasartes.com.br/obra/DcUt/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_1846.jpg,Gravura em metal,74.0,54.0,2900.0,1450.0,reprodução,True,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Victor%20Vasarely/,"Projeto para Múltiplo Técnica utilizada nesta obra: Caixa Óptica composta de dois planos de acetato pintado e montado em vidro e chapa de madeira, 29 x 21 cm. Peça da fase Noir-Blanc et cinétique (1955-1963)",Leilão das Galerias 30 de Setembro de 2013,False,Esculturas/Objetos,,Victor Vasarely,Projeto para Múltiplo,https://www.catalogodasartes.com.br/obra/DGBUcD/,,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_125481.jpg,VER DETALHES,21.0,29.0,28500.0,12666.67,outro,False,2013
