Year,artist_link,Descrição,Fonte de Pesquisa,Type,Artist,Título,url,img_url,Medium,Error,0,0.1,0.2,0.3,0.4,Height (cm),Width (cm),Price (BRL),Price (USD),Medium_type,Sold,Year of sale
,https://www.catalogodasartes.com.br/cotacao/artista/Djanira%20da%20Motta%20e%20Silva/,83/200 - Serigrafia/Guacheada - 48 x 35 cm - a.c.i.d.,Renot Leilão Junho/07,Pinturas,Djanira da Motta e Silva,Banda de Marrapaia,https://www.catalogodasartes.com.br/obra/Gcce/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_2880.jpg,Serigrafia guacheada,False,,,,,,35.0,48.0,1400.0,700.0,pintura,True,2007
,https://www.catalogodasartes.com.br/cotacao/artista/Alberto%20Guignard%20-%20Alberto%20da%20Veiga%20Guignard/,,Palácio dos Leilões Setembro de 2008.,Pinturas,Alberto Guignard - Alberto da Veiga Guignard,Ouro Preto,https://www.catalogodasartes.com.br/obra/GGGtA/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_22267.jpg,Desenho,False,,,,,,29.0,19.0,7200.0,3636.36,desenho,False,2008
,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,"serigrafia - H. C. - 39 x 26 cm - canto inferior direito - Serigrafia reproduzida no catálogo da exposição ""Vanguarda modernista na coleção Banco Central"". Esta obra entrou em leilão com o lance inicial de R$300,00",Leilão Tableau 23 a 25 de abril de 2013,Pinturas,Di Cavalcanti (1897-1976),Camponês cavalgando burro,https://www.catalogodasartes.com.br/obra/DeUBUD/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_104541.jpg,Serigrafia,False,,,,,,26.0,39.0,600.0,298.51,reprodução,True,2013
1987.0,https://www.catalogodasartes.com.br/cotacao/artista/Ibere%20Camargo%20-%20Iber%C3%AA%20Camargo/,"Esta obra entrou em pregão com o lance inicial de R$4.000,00 Serigrafia PA VII/XX",Leilão Errol Flynn Junho de 2009.,Pinturas,Ibere Camargo - Iberê Camargo,Memorial da América Latina,https://www.catalogodasartes.com.br/obra/ztAUc/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_36748.jpg,Serigrafia,False,,,,,,66.0,63.0,4000.0,1951.22,reprodução,True,2009
,https://www.catalogodasartes.com.br/cotacao/artista/Milton%20Dacosta/,"Serigrafia Vênus, em Azul. Assinada e Numerada. Medidas 70x50cm. | SM - Texto transcrito do catálogo do leilão.",Leilão Casa Brasileira 09 de Abril de 2015,Pinturas,Milton Dacosta,Vênus em Azul,https://www.catalogodasartes.com.br/obra/DtUDeD/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_164101.jpg,Serigrafia,False,,,,,,50.0,70.0,550.0,178.57,reprodução,False,2015
,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,"Mulher - Gravura - Tiragem 14/100 - 57x40cm - com moldura - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$270,00",Leilão MR e Silva 15 de Outubro de 2014,Pinturas,Di Cavalcanti (1897-1976),Mulher,https://www.catalogodasartes.com.br/obra/DBctUA/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_158647.jpg,Gravura,False,,,,,,40.0,57.0,270.0,112.5,reprodução,True,2014
1949.0,https://www.catalogodasartes.com.br/cotacao/artista/Milton%20Dacosta/,"Menina com Borboletas Guache s/ cartão, 30 x 35 cm, ass. inferior direito, dat. 1949 - Texto transcrito do catálogo do leilão. - Esta obra entrou em leilão com o lance inicial de R$15.000,00",Leilão Canvas 10 de Novembro de 2015,Pinturas,Milton Dacosta,Menina com Borboletas,https://www.catalogodasartes.com.br/obra/GBAPtU/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_257964.jpg,Guache sobre cartão,False,,,,,,35.0,30.0,15000.0,3957.78,pintura,True,2015
1965.0,https://www.catalogodasartes.com.br/cotacao/artista/Di%20Cavalcanti%20%281897-1976%29/,Dancing - serigrafia s/n - 1965 - 60 x 40 cm - Assinada na matriz - Texto transcrito do catálogo do leilão.,Leilão Dali Art - 31 de Março de 2016,Pinturas,Di Cavalcanti (1897-1976),Dancing,https://www.catalogodasartes.com.br/obra/ADtGtz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_716263.jpg,Serigrafia,False,,,,,,40.0,60.0,500.0,138.5,reprodução,False,2016
1975.0,https://www.catalogodasartes.com.br/cotacao/artista/Maria%20Leontina%20Franco%20Da%20Costa/,"""Sem titulo"" - sobre tela. - Ass. inf. dir. ass.dat. 1975 no verso. - 60 x 60 cm. Texto transcrito do catálogo do leilão.",Leilão Lordello e Gobbi 23 de Junho de 2015,Pinturas,Maria Leontina Franco Da Costa,Sem Título,https://www.catalogodasartes.com.br/obra/DtABtz/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_167563.jpg,Óleo sobre Tela,False,,,,,,60.0,60.0,30000.0,9771.99,pintura,False,2015
,https://www.catalogodasartes.com.br/cotacao/artista/Alberto%20Guignard%20-%20Alberto%20da%20Veiga%20Guignard/,"Alberto da Veiga Guignard - Cartão de Natal - 8 x 11 cm - Aquarela e Nanquim - Assinatura meio superior – Data 1945 - Convite para encontro do artista ""Guignard convida sua colega Célia Laborne para um chá na Cultura Ingleza sábado 1º dezembro 1945 às 4 "" - Texto transcrito do catálogo do leilão.",Leilão Bruno Reis 06 de Julho de 2021,Pinturas,Alberto Guignard - Alberto da Veiga Guignard,Cartão de Natal,https://www.catalogodasartes.com.br/obra/PcBGPG/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_985292.jpg,Aquarela e nanquim,False,,,,,,11.0,8.0,5900.0,1143.41,pintura,False,2021
1964.0,https://www.catalogodasartes.com.br/cotacao/artista/Ant%C3%B4nio%20Bandeira%20%281922-1967%29/,"ANTONIO BANDEIRA Fortaleza, 1922 -1967 “Arvore de Natal, 1964”. Nanquim s/ cartão Ass. Inf. direito 17 x 10 cm - Texto transcrito do catálogo do leilão.",Leilão TNT 15 e 16 de Março de 2021,Pinturas,Antônio Bandeira (1922-1967),Arvore de Natal,https://www.catalogodasartes.com.br/obra/PAPtec/,https://s3-sa-east-1.amazonaws.com/catalogodasartes/obra_979608.jpg,Nanquim sobre cartão,False,,,,,,10.0,17.0,2900.0,517.86,desenho,False,2021
