Contemporâneo,Figurativo,Pop,Moderno,Conceitual,Abstrato,Retrato,Surrealista,Outro Tema,Paisagem,Natureza,Clássico,Realista,Minimalista,Expressionista,Vintage,Streetart,Impressionista,Pintura,Gravura,Técnica Mista,Outra Técnica,Desenho,Escultura,Fotografia,Livro,Colorido,Monocromático,Size,Price,Artist,Title,Image_Url,Marketplace
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3024.0,2400.0,Grazi Azevedo,Grid 4,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4218/rQCZmRp6p4AQvvZchigBJ423032022043708.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3024.0,2400.0,Grazi Azevedo,Deriva 1,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4237/lZdLrCF6JUfJaCnqoh9DFS23032022043842.webp,Artsoul
True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2500.0,2750.0,Carmen Givoni,Éden,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4912/nFHd22QKlsyx9T5fGd5Iwu23032022062733.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2000.0,3000.0,EDUARDO BRAGANÇA,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/17768/QMdGHHFd302Y4S5CGhbljH24072023170703.webp,Artsoul
True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3364.0,9000.0,Lu Guedes,s/ título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4060/nEteSvhqpxqnh31U0mKZmX23032022042547.webp,Artsoul
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2200.0,1610.0,Nana Cunha,Babaçu,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15686/Mmi6HVRSf2FncaiEtWTvpS27052022102352.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1995.0,8000.0,Lygia Eluf,Sem título,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/15927/oOfoNRdsyZ9yIaFUvCmJ3j27072022165641.webp,Artsoul
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9204.0,11500.0,Cabral,Cabral - Litografia,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6208/TjRWk8JFSHWG4BnJZt15eV23032022074337.webp,Artsoul
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1950.0,3500.0,Biba Rigo,Mulher com flores e Mulher com facas,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/4539/PfwtzTWYEA7MAaMrCqsca023032022045833.webp,Artsoul
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3172.0,3500.0,Helena Freddi,Da série Identidade Cultural,https://artsoul.nyc3.cdn.digitaloceanspaces.com/artworks/6118/ngX0RmUuvxhlQc7WIyFqGH23032022073802.webp,Artsoul
