,Mean Price (US$/in²),Median Price (US$/in²),Standard Dev Price (US$/in²),Variance (US$/in²),Count (#)
Cardboard,3.25,2.92,1.85,3.44,262.0
Wood,3.15,2.67,1.87,3.51,1106.0
Other,3.35,2.58,2.05,4.18,445.0
Canvas,2.83,2.32,1.76,3.1,8042.0
Paper,2.85,2.27,1.85,3.42,2884.0
Cotton,2.6,2.0,1.64,2.68,122.0
Fabric),2.6,2.0,1.64,2.68,122.0
