,Residual Price (%),Residual Price (US$)
max,36.73423423423422,2916.9423809523832
min,-16.8122085629504,-2663.8999999999996
mean,5.821574001372638,98.02680061855398
median,2.7089819819819905,33.49428571428564
stdev,13.330928372467655,454.5060027462806
var,177.71365127186314,206575.70653240202
