,Residual Price (%),Residual Price (US$)
max,279.4146341463414,6066.02
min,-45.45071428571429,-6363.1
mean,9.082147219384474,-425.4387356321839
median,-12.774747474747484,-632.3500000000004
stdev,66.28456518994334,2125.212142674832
var,4393.643582419848,4516526.651372552
