,Residual Price (%),Residual Price (US$)
max,501.06111111111113,12378.79
min,36.75633333333335,56.59111111111113
mean,104.21283259400366,1294.9104223668955
median,86.41876566811236,838.9174999999999
stdev,69.56118715675606,1292.1521924363576
var,4838.758758657245,1669657.2884180858
