,Linear regression,Decision tree,Random forest,Gradient boosting
R² Score,0.6531332648182209,0.4863997288574584,0.681508719680582,0.6738099990678204
Adjusted R² Score,0.572963757457255,0.3676939651111082,0.6078974838594531,0.5984193979278712
Pearson Correl Predicted-Actual,0.8102374268908288,0.7371624910639074,0.8263712294692178,0.8209814557392102
Mean Absolute Error,1070.6830155755852,1157.3240466692312,930.1096577385317,1049.5688445266119
Median Absolute Error,586.4870474698137,412.5,400.2208333333334,567.2033709912223
Mean Squared Error,3547292.8537026714,5252422.289871387,3257106.3410033016,3335838.643188436
