,Price (US$),Price (US$/in²)
max,58550.0,9.285971871619184
min,135.0,0.68125
mean,2851.584320266889,2.868842437175525
median,1721.0,2.3569973646305638
stdev,3428.28217067615,1.7993539806273893
var,11753118.641775977,3.237674747599631
