,Residual Price (%),Residual Price (US$)
max,246.69767441860463,1449.6100000000001
min,-60.535294117647055,-2058.2
mean,21.9629363887917,-36.71107795326457
median,5.6218601293610995,93.32287814739425
stdev,73.07854264988336,901.9642947470918
var,5340.473395830822,813539.5889986187
