,Price (US$),Price (US$/in²),Size (in²)
max,58550.0,9.285971871619184,21206.64
min,135.0,0.68125,17.49
mean,2851.584320266889,2.868842437175525,1215.0493803169181
median,1721.0,2.3569973646305638,774.54
stdev,3428.28217067615,1.7993539806273893,1343.444129955936
var,11753118.641775977,3.237674747599631,1804842.1303130616
