,Residual Price (%),Residual Price (US$)
max,-16.817647058823532,-52.275000000000006
min,-85.1197833935018,-21560.45
mean,-38.36965227182335,-1891.8887793701306
median,-36.1505801186792,-1130.6133333333332
stdev,15.59025989438939,2381.7655907038506
var,243.0562035746063,5672807.329060863
