,Residual Price (%),Residual Price (US$)
max,501.06111111111113,12378.79
min,-85.1197833935018,-21560.45
mean,19.38288317220709,-100.39654172681965
median,2.7089819819819905,33.49428571428564
stdev,63.92769080138356,1802.326689741285
var,4086.7496511973004,3248381.496553778
